account_name,website_link,address,phone_number,extra_phone,email_address,social_media_links,description,validation_passed,Record Id
Natures' Farm,https://naturesfarm.com/pages/contact?srsltid=AfmBOopQ2Q9XbAtL1mHRZ3hXjcHbJU2cZfTDZjxz8qeBF_VQ5wSOQTqa,nan,68462636,Not found,online@naturesfarm.com,"https://www.facebook.com/naturesfarmSG/, https://sg.linkedin.com/company/nature's-farm%C2%AE-pte-ltd",Nature's Farm. 6663 likes · 23 talking about this. Quality Above Everything.,Forced CSV fallback,zcrm_3877682000000338050
Bio Vectrol Singapore,https://www.bio-x.sg/contact,nan,+65 68726558,Not found,info@biovectrol.com,https://www.facebook.com/BioXSG/,"Bio-X Eden Plus is here to help: ✓ Repels common plant pests ✓ Stops pests from spreading ✓ Soil treatment ✓ Prevent fungus & viruses Spray the entire plant, ...",Forced CSV fallback,zcrm_3877682000000338075
1010 Mother & Child Essentials,https://www.yelp.com/biz/1010-mother-and-child-essentials-singapore,180 Kitchener Road,+65 6509 1519,Not found,Not found,https://www.facebook.com/100070001416134/mentions/,Missing: 180 Kitchener #b2-45,Revalidated,zcrm_3877682000000437067
13Thirteen,https://www.13thirteen.com.sg/pages/contact-us?srsltid=AfmBOopQJCMmqNQfHSj5bU96SMh4oHe7I3amjlC7Ao-8NxoUrjSOr7ph,Not found,Not found,Not found,enquiries@13thirteen.com.sg,"https://m.facebook.com/13thirteenrentals/mentions/, https://www.facebook.com/13thirteenSG/, https://www.instagram.com/13thirteensg/?hl=en","If you're navigating the newborn stage and could use a little extra support, come chat with us. 📩 DM us to find out more 🔗 www.13thirteen.com.sg.",Unknown,zcrm_3877682000000437068
3Kings,https://www.luckyplaza.com.sg/store-guide/3-kings-pub,105 Eunos Ave 3 Hafary Centre #06 (Beside Cargo Lift),+65 6235 3294,Not found,Not found,Not found,Shop 3 Kings Grooming Official Website. Discover a collection of Luxury Grooming Tools for Men and Women.,Forced CSV fallback,zcrm_3877682000000437071
3M Technologies,https://www.3m.com.sg/3M/en_SG/company-sg/help-center/,1 Yishun Ave 7,+65 6450 8888,-65522051,innovation.sg@mmm.com,https://sg.linkedin.com/company/3m,"Website: http://www.3M.com/careers. External link for 3M ; Industry: Industrial Machinery Manufacturing ; Company size: 10,001+ employees.",Forced CSV fallback,zcrm_3877682000000437072
3Pm.Sg,https://www.spgroup.com.sg/contact-us,17 Taman Mas Merah,+65 6916 8839,+65 80760203,srmsupport@spgroup.com.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437073
A.Menarini,https://www.menariniapac.com/content/menarini-apac/en/apac-markets/singapore.html,"30 Pasir Panjang Road, #08-32 Mapletree Business City",+65 6494 7200,Not found,SG.AE@menariniapac.com,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437074
Aafiya Essentials,https://www.aafiyaessentials.com/pages/contact-us,"80 Changi Road, #01-13 Centropod@Changi",+65 88935303,Not found,info@aafiyaessentials.com,"https://www.instagram.com/aafiyaessentials/?hl=en, https://www.facebook.com/photo.php?fbid=1789781208010882&id=1610785675910437&set=a.1618265171829154","Here at Aafiya Essentials, we teach you ""how to relax your mind"" while in labor. How to Practice ""Deep Breathing with Essential Oils & Zikir."" This ...",Forced CSV fallback,zcrm_3877682000000437075
Acqua Vida,https://acquavida.sg/,39 Woodlands Close #05-66 Mega@Woodlands,89669984,+65 88769984,support@acquavida.sg,https://www.instagram.com/acquavidasg/,Designed for your daily life. - High quality purified water dispenser. Pure vitamin-c shower filter. Bathroom essentials. acquavida.sg. Follow. Message.,Forced CSV fallback,zcrm_3877682000000437077
Active Energy,https://opengovsg.com/corporate/201503194D,6 Harper Road Leong Huat Building #03-08,+65 6821 1505,Not found,sales@simplyactive.com.sg,Not found,Order up-to-date official reports of ACTIVE ENERGY ADVISORS PTE. LTD. Delivery within 4-12 hours. Server size. Business Profile.,Forced CSV fallback,zcrm_3877682000000437078
Activ health,https://activhealth.com.sg/contact-us-2/,116 Middle Road Icb Enterprise House #05-01,+65 6315 3579,+65 63339728,info@activhealth.com.sg,https://www.facebook.com/AdminActivhealth/,Not found,Forced CSV fallback,zcrm_3877682000000437079
Advisors Clique,https://advisorscliquecollective.com.sg/contact-us/,"1 Pickering Street, #07-03/04 Great Eastern Centre",+65 6854 7566,Not found,Not found,"https://www.instagram.com/advisorscliquecollective/reels/, https://www.instagram.com/advisorscliquecollective/?hl=en, https://www.facebook.com/advisorsclique/, https://sg.linkedin.com/company/advisors-clique-collective","From risk management to employee benefits, we offer tailored solutions for your company's financial success. Partner with us today and thrive with confidence.",Forced CSV fallback,zcrm_3877682000000437081
Afdhall Babies,https://babyexpress-sg.com/pages/contact-us?srsltid=AfmBOoqatG3eo93xgnvD1DwhAYQ4-A_OeP8sFM_Y7yL4MCDQFPUxBTc7,nan,+65 8792 0136,"+65 62811128, +65 97207388, +65 62811108",hello@diapercakeavenue.com,https://www.facebook.com/groups/541425542723577/,Not found,CSV fallback,zcrm_3877682000000437082
SP-QO Evelyn Jerald,https://www.sp.edu.sg/docs/default-source/default-document-library/sp-62nd-grad-ceremony-handbook.pdf?sfvrsn=fcfd1ad3_1,9 Tampines Grande #02-11 To 22,6775 1133,Not found,Not found,"https://sg.linkedin.com/in/evelyn-leong-0b864558, https://sg.linkedin.com/in/evelyngohst",Evelyn has a wealth of experience in the insurance industry for 20 years. She graduated from the University of Bradford with a Bachelor of Science (Honours) ...,CSV fallback,zcrm_3877682000000437084
AL&S Enterprise,https://www.sgpbusiness.com/company/Als-Enterprise-Pte-Ltd,81 Ubi Ave 4 #03-05/06,63462516,Not found,Not found,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437085
Album Networks,https://www.sgpbusiness.com/company/Album-Networks-Pte-Ltd,60 Kaki Bukit Place #02-09 Eunos Techpark,6323 0111,Not found,Not found,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437086
Alkurma Sg,https://allkurma.sg/?srsltid=AfmBOoqu27TSjckk3pKIAu9BGWcUhkIRoEDelTL6vMw-WgCuT9DNsJAI,449 Yishun Ring Road #08-100,-64650433,Not found,singapore@allkurma.com,"https://www.instagram.com/allkurmasingapore/reel/C-sQSpdtQzj/, https://www.facebook.com/allkurmasingapore/?locale=de_DE, https://www.facebook.com/allkurmasingapore/, https://www.instagram.com/allkurmasingapore/?hl=en","Dates, Dried Fruits and Nuts from Middle East, USA, Africa and other global markets. Visit our ecommerce site to get your favourite snacks. ⬇.",CSV fallback,zcrm_3877682000000437088
All Babies Are Cute,https://companieshouse.sg/all-babies-are-cute-53272679X,637C PUNGGOL DRIVE,Not found,Not found,Not found,Not found,Not found,Revalidated,zcrm_3877682000000437089
Alphamart,https://sgpgrid.com/company-details/alfamart-retail-asia-pte-ltd,22 Sin Ming Lane #06-76 Midview City,+65 6796 7234,Not found,peter.hoflich@thefitchgroup.com,https://www.facebook.com/alphamartsg/,"Established in 1999, Alfamart proudly marks its 25 th anniversary this year as one of the top choices for shopping within both urban and rural ...",Forced CSV fallback,zcrm_3877682000000437092
Altitude Alliance,https://altitudealliance.com.sg/contact/,"438A Alexandra Road, #02-03 Alexandra Technopark, Block A",65 69890062,+65 62060300,contact@altitudealliance.com.sg,https://www.instagram.com/altitudealliancesg/?hl=en,Altitude Alliance (AA) is a group of financial consultants from different agency groups representing Great Eastern Financial Advisers Private Limited.,Forced CSV fallback,zcrm_3877682000000437094
American Express International,https://www.americanexpress.com/sg/support/contact-us/,"20 (West) Pasir Panjang Road, #08-00 Mapletree Business City Block C",+65 6880 1343,"+34 902375637, +65 68801900",Not found,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437095
Arabelle,https://eventservices.sg/main/arabelle-chia-ling-ling/,Not found,+65 87425694,Not found,connect@aiafa.com,"https://sg.linkedin.com/in/arabelle-chia-74b6927a, https://sg.linkedin.com/in/arabelle-zhuang-6aba9410b","Arabelle Chia is an experienced bilingual emcee and auctioneer, having hosted many corporate, public and sporting events. Check out her profile and book ...",Unknown,zcrm_3877682000000437098
Ashley Low Photography,https://ashleylowphotography.com/contact/,"67 Ubi Road 1, #08-15 Oxley Bizhub",9640 3774,+65 96403774,info@ashleylowphotography.com,"https://sg.linkedin.com/in/ashley-low-b39aa656, https://www.facebook.com/ashleylowphotography/posts/at-ashley-low-photography-we-are-honored-to-capture-your-most-cherished-moments-/1055665359896315/, https://www.instagram.com/ashleylowphotography/?hl=en, https://www.instagram.com/reel/DHkKQXeRpfp/?hl=en, https://www.facebook.com/ashleylowphotography/","... For those who don't know, I now run two photography brands: Ashley Low Photography – My heart and soul, specializing in newborn photography ...",Forced CSV fallback,zcrm_3877682000000437101
Asia Chiropractic and Wellness,https://asia-chiropractic.com/contact-us/,175A Bencoolen Street #06-07 Burlington Square,98209970,Not found,Not found,https://www.facebook.com/asiachiropracticwellnessSingapore/,Not found,Forced CSV fallback,zcrm_3877682000000437102
Asia Placement Global,https://www.maidagencysingapore.com/asia-placement-global/,"545, Orchard Road, #06-05 Far East Shopping Centre",9137 1228,"+65 97351228, +65 91371228",Not found,"https://www.facebook.com/asiapinc/, https://www.facebook.com/APGlobal/",Considering a career at Asia Placement Global Pte Ltd? Learn what its like to work for Asia Placement Global Pte Ltd by reading employee ratings and reviews ...,Forced CSV fallback,zcrm_3877682000000437103
Aspire Alliance,https://www.aspirealliance.com.sg/contact,103 Penang Road,Not found,Not found,askme@aspirealliance.com.sg,"https://sg.linkedin.com/company/aspirealliance, https://www.facebook.com/aspirealliance.com.sg/",Aspire Alliance 丰联集团 (AA) is a branch of Manulife Financial Advisers known for its group of dynamic Financial Services Consultants who are committed to ...,Similarity 0.75,zcrm_3877682000000437105
Assisted Living,https://assistedliving.com.sg/contact-us/,"84 Genting Lane, #05-05 Cityneon Design Centre, Singapore 349584",+65 6320 9818,Not found,hello@assistedliving.com.sg,Not found,"Learn about Community Care Apartments, an assisted living concept providing care services for seniors, including the eligibility conditions and buying ...",Forced CSV fallback,zcrm_3877682000000437106
ATZ Care,https://atz.com.sg/contact-us/,"17-2A, Ukay Boulevard, Jalan Lingkaran Tengah 2 (Mrr2), Ulu Kelang, Ampang 68000 Malaysia",+65 6659 8980,6568443680,info@atz.com.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437107
Autentico Taiwan,https://www.mfa.gov.sg/countries-regions/t/taiwan/travel-page,5 Marine Terrace #05-274,+65 63494555,Not found,singtr_tpe@mfa.sg,Not found,Not found,CSV fallback,zcrm_3877682000000437108
Avennetz Technology,https://www.sgpbusiness.com/company/Avennetz-Technologies-Private-Limited,73 Ayer Rajah Cresent #01-06,+65 8962 4042,Not found,layling.chooh@avnet.com,"https://www.facebook.com/avennetz/, https://sg.linkedin.com/company/avennetz-technologies",Website: http://www.avennetz.com.sg/cansense/. External link for Avennetz Technologies ; Industry: Information Technology & Services ; Company size: 2-10 ...,CSV fallback,zcrm_3877682000000437109
Aviva Financial Advisers,https://eservices.mas.gov.sg/fid/institution/detail/1116-AVIVA-FINANCIAL-ADVISERS-PTE-LTD,51 Cuppage Road,Not found,Not found,hello@pcpgroup.sg,https://sg.linkedin.com/company/singlifefinancialadvisers,Missing: 51 Cuppage #04-03,Revalidated,zcrm_3877682000000437110
Baby And Kids,https://www.sbcc.sg/location/sbcc-baby-child-clinic-rivervale/,Blk 914 Hougang St 91 #09-16,6321 4540,Not found,askYH@msf.gov.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437115
Baby And Tots,https://www.totsntoys.com.sg/contact-us,Blk 433 Choa Chu Kang Ave 4 #04-541,+65 8322 9228,6597470096,admin@bethelcs.org.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437116
Baby Beachbums,https://baby-beachbums.com/?srsltid=AfmBOooSTRH1m_ICpwa1qOdbsopok4hABWBowf2_n6C9OZDU00xUd-ya,722 BEDOK RESERVOIR ROAD,9795 8923,Not found,admin@baby-beachbums.com,"https://www.instagram.com/babybeachbumssg/, https://www.facebook.com/babybeachbumssg/","SG-based Sun & Swim Shop for Lil Ones ☀ UPF50+ Swimwear, Hats, Sunglasses, Sunscreen & more Excl Distrib: BelugaKids Thermal Swimwear. baby-beachbums.com.",Similarity 0.79,zcrm_3877682000000437117
Baby Singapore,https://www.msf.gov.sg/contact-us-feedback,"1 Scotts Road, #21-08 Shaw Centre",+65 6253 7707,+65 97207388,support@baby-central.com.sg,Not found,"1800-111-2222. (MSF Consolidated Hotline - to reach the Fostering division, say ""Foster"" when prompted by the virtual assistant). Alternatively, you may reach ...",Forced CSV fallback,zcrm_3877682000000437122
Baby Wrap By Mak Yang,Not found,818C Choa Chu Kang Ave,Not found,Not found,Not found,https://www.facebook.com/100063464473126/videos/baby-wrap-by-mak-yang-is-stretchable-supports-babys-growth-and-is-able-to-expand/734913687215065/,Not found,Revalidated,zcrm_3877682000000437123
Babytoon,https://babytoon.com.sg/index.php?route=information/contact,"258 Tampines St 21 
#03-246 Singapore 520258",92233032,Not found,support@babyland.com.sg,"https://sg.linkedin.com/in/baby-toon-9688a5191, https://www.facebook.com/lovebabytoon/",❤Great for Kids / Home /Travel /Car sit/ Office /gift Babymarket :09-10oct Babytoon :booth J29 · No photo description available.,Forced CSV fallback,zcrm_3877682000000437126
Babyu International Holdings,https://www.babyu.com.sg/contact-us,339 Thomson Road,+65 9147 4840,Not found,info@babyu.com.sg,https://www.facebook.com/babyuinternational/,Not found,Forced CSV fallback,zcrm_3877682000000437127
Bambini Photography,https://bambiniphoto.sg/contact/,62 Ubi Road 1 #10-24 Oxley Bizhub 2,+65 8717 1558,Not found,info@bambiniphoto.sg,"https://www.instagram.com/bambiniphotosg/?hl=en, https://www.facebook.com/bambiniphotography/",Not found,Forced CSV fallback,zcrm_3877682000000437130
Ban Soon Sewing Machine,https://www.sewing.sg/pages/contact-us?srsltid=AfmBOoohUAvRW5jqB85K5IfVzVkNxPL6BS4sHW7PTMM40U3VtOlqg_Ir,431 Clementi Ave,+65 6776 3253,Not found,contact@sewing.sg,"https://www.facebook.com/BanSoonSewingMachinePteLtd/, https://www.facebook.com/BanSoonSewingMachinePteLtd/posts/welcome-to-ban-soon-sewing-machine-pte-ltd-no-431-clementi-ave-3-01-328-singapor/608617859769520/, https://www.instagram.com/bansoonsewing.sg/?hl=en",Not found,Revalidated,zcrm_3877682000000437132
Bebe,https://www.yelp.com/biz/bebe-singapore-3,61 Bukit Batok Cresent #04-01C,6738 9889,Not found,customersupport@bebe.com,"https://www.facebook.com/bebesingapore/, https://m.facebook.com/bebesingapore/about/, https://www.instagram.com/bebesingapore/?hl=en",The Company current operating status is struck off. This Company's principal activity is wholesale of children and infants' clothing (including ...,Forced CSV fallback,zcrm_3877682000000437137
Betel Life,https://opengovsg.com/corporate?postal=419591,"02-01, Windy Heights, Singapore 419591, 2012-06-22, St",Not found,Not found,Not found,Not found,Not found,Revalidated,zcrm_3877682000000437138
Betime Marketing Pte Ltd,https://origin.streetdirectory.com/betimemarketing/,"31 Bukit Batok Crescent, #01-46/47 The Splendour",6766 3188,"+65 67663188, +65-67666066",hr@betime.biz,"https://www.facebook.com/Betime.Marketing/, https://sg.linkedin.com/company/betime-marketing-pte-ltd",Not found,Forced CSV fallback,zcrm_3877682000000437139
Biconi,https://www.zoominfo.com/c/biconi-pte-ltd/366245908,158 Kallang Way #03-15A Performance Building,Not found,+60 351921952,first@biconi.com,"https://www.instagram.com/biconi/, https://sg.linkedin.com/company/biconi","BICONI is a vegetarian and vegan-friendly skincare and haircare brand. As a family-owned and family-oriented business, BICONI is dedicated to developing and ...",CSV fallback,zcrm_3877682000000437141
Bing Bling,https://familyu.com.sg/blogs/welcome/36922373-welcome-to-bingbling?srsltid=AfmBOoo_BBOJKF_dj9aqvKJM1JXUaAUMVZupIqTIHXxPx22q0HRfb-jw,"18 Boon Lay Way, #03-96 Tradehub 21",+65 9100 1479,Not found,bing@bingbling.com.sg,"https://www.facebook.com/bingbling.sg/photos/a.353658861363011/2946408432088028/?type=3, https://www.instagram.com/p/CST5sYmrNL4/, https://www.facebook.com/bingbling.sg/, https://www.instagram.com/p/CQQcDE-Aetl/",Not found,Forced CSV fallback,zcrm_3877682000000437142
Binky Boppy,https://www.binkyboppy.com/pages/contact-us,Blk 120 Mcnair Road #15-87,Not found,Not found,info@binkyboppy.com,"https://www.instagram.com/binkyboppy/, https://sg.linkedin.com/company/binky-boppy",Binky Boppy distributes and retails cool children's products. Tag us #binkyboppy · www.binkyboppy.com.,Forced CSV fallback,zcrm_3877682000000437143
Bistos,https://www.hsa.gov.sg/announcements/field-safety-notice/field-safety-notice-feb-2016,"Nth Fl., A Bldg., Woolim Lions Valley 5Cha, 302,Galmachi - Ro, Jungwon-Gu, Seongnam-Si,Gueonggi-Do Republic Of Korea",66362875,Not found,bistos@bistos.co.kr,Not found,Bistos is leading the medical equipment market in the future and contributing to medical device development and service betterment. In order to be a pivot of ...,CSV fallback,zcrm_3877682000000437144
Blackmores,https://www.blackmores.com.sg/chat-with-us,"65 Chulia Street, #38-07 Ocbc Centre Singapore 049513",+65 6225 3933,Not found,healthadvisory@blackmores.com.sg,"https://sg.linkedin.com/company/blackmores, https://www.instagram.com/blackmoressg/?hl=en, https://www.facebook.com/BlackmoresSingapore/",Blackmores is Australia's leading natural health company. Based on the vision of naturopath and founder Maurice Blackmore (1906-1977).,Forced CSV fallback,zcrm_3877682000000437145
Bloomsbury Bakers,https://www.bloomsburybakers.com/,30 Bendemeer Road,8308 9396,Not found,Not found,"https://www.instagram.com/bloomsburybakers/?hl=en, https://www.facebook.com/BloomsburyBakers/, https://www.facebook.com/BloomsburyBakers/posts/hi-everyone-please-meet-the-latest-addition-to-our-bloomsbury-family-as-such-we-/1922236507797018/",Not found,Similarity 0.75,zcrm_3877682000000437147
Blue Heart Ventures Pte Ltd,https://recordowl.com/company/blue-heart-ventures-pte-ltd,413 YISHUN RING ROAD #08-1877 YISHUN GREENWALK,Not found,Not found,Not found,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437148
Bodywork Clinic,https://www.timesbusinessdirectory.com/company-details/bodywork-clinic-pte-ltd/,"290 Orchard Road Paragon, #14-11/12",+65 6887 5458,+65 67424939,gina@bodyworkclinic.com.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437149
Boujour Trading,https://www.bonjour.sg/Contactus.aspx,Blk 9004 Tampines Street 93 #04-86,6254 3117,Not found,cs@bonjourglobal.com.sg,"https://sg.linkedin.com/company/bonjour-cosmetics-singapore, https://www.facebook.com/bonjourcosmetics.sg/",Not found,CSV fallback,zcrm_3877682000000437151
Branded Babies,https://www.sassymamasg.com/baby-shops-singapore-online-stores-clothes-strollers-cribs/,Not found,+65 6878 0488,Not found,hello@babybrands.asia,Not found,Discover designer clothes for baby boys and girls from newborn to 2 years old. Browse our collection and enjoy free shipping on orders ...,Unknown,zcrm_3877682000000437152
Bridal Concept,https://www.bridalconceptbydesign.com/contact,16B Liang Seah Street,8424 3523,"+65 63339411, +65-63334119",bridalconceptbydesign@gmail.com,"https://www.facebook.com/BridalConceptByDesign/photos/a.659711684135081/1985679878204915/?type=3, https://www.instagram.com/bridalconceptbydesign/?hl=en, https://www.facebook.com/BridalConceptSingapore/photos/a.659711684135081/1974301752676061/?type=3",Not found,Similarity 0.93,zcrm_3877682000000437153
Budding Todds,https://buddingtodds.com/pages/contact-us,37 BANGKIT ROAD,Not found,Not found,info@buddingtodds.com,Not found,Abstract. Sediment rejection efficiency of five scleractinian corals was studied in situ at the western fringing reef of.,Similarity 0.81,zcrm_3877682000000437154
Ca Closet,https://sg.ltddir.com/companies/ca-closet/,24 TU FU AVENUE,+65 6304 1388,Not found,Not found,Not found,The objective of this publication series is to disseminate research findings as well as deliberations and policy suggestions that arise from the Institute's.,Revalidated,zcrm_3877682000000437156
Caely,https://youaremysunshine.sg/pages/caely,"47-2 Jalan Radin Anum, Bandar Baru, Sri Petaling Kuala Lumpur 57000",+65 8887 8805,Not found,caelystyle@gmail.com,"https://www.facebook.com/youaremysunshine.sg/posts/meet-our-artistic-director-caelywatch-as-she-creates-a-masterpiece-on-every-cust/554549460434883/, https://www.instagram.com/reel/DAPtcXNyMm8/?hl=en, https://www.facebook.com/youaremysunshine.sg/videos/meet-our-artistic-director-caelywatch-as-she-creates-a-masterpiece-on-every-cust/1442942596396672/, https://www.facebook.com/youaremysunshine.sg/posts/how-do-you-like-your-hair-colorby-youaremysunshinecaelylet-us-help-you-take-good/373716831851481/","So if any of you are interested in my hair colour, make a booking with Caely for a consultation and she'll know what colour you want... because ...",Forced CSV fallback,zcrm_3877682000000437157
Cambert (F.E.),https://kordels.com.sg/contact/,"1 Kim Seng Promenade, #14-06 Great World City East Tower",+65 6775 0600,Not found,kordels@cambert.com.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437158
Can Kun Marketing,https://www.fastjobs.sg/singapore-jobs/?coyid=168723,60 Paya Desar Road #07-22 Payalebar Square,6983 9830,Not found,customercare@fastjobs.sg,Not found,"The registered street name and Postal Code is PAYA LEBAR ROAD, 409051. The current entity status is Live Company. UEN: 201221855W. Entity ...",Forced CSV fallback,zcrm_3877682000000437159
Canvas Avenue,https://www.yelp.com/biz/canvas-singapore,Blk 62B Strathmore Ave #02-64,+65 6688 8680,Not found,info@canvasvenue.sg,"https://www.facebook.com/canvassingapore/, https://www.facebook.com/canvascreativespace/, https://www.instagram.com/canvassingapore/?hl=en",Not found,CSV fallback,zcrm_3877682000000437160
Care Daily,https://www.carecorner.org.sg/services/community-case-management/,Blk 498G Tampines St 45 #08-444,6244 6688,Not found,ccms.north@carecorner.org.sg,Not found,"We are enhancing the home personal care services so that we can better support seniors to age-in-place in community, even as their needs increase.",Forced CSV fallback,zcrm_3877682000000437161
Cavz,https://www.keepital.com/company/sg/csl-car-accessories-pte-ltd/contacts,210 Turf Club Road,62690169,Not found,Not found,https://www.facebook.com/vincegroupsg/posts/introducing-the-%F0%9D%97%A1%F0%9D%97%98%F0%9D%97%AA%F0%9D%97%98%F0%9D%97%A6%F0%9D%97%A7-and-%F0%9D%97%95%F0%9D%97%9C%F0%9D%97%9A%F0%9D%97%9A%F0%9D%97%98%F0%9D%97%A6%F0%9D%97%A7-showroom-in-%F0%9D%99%8F%F0%9D%99%AA%F0%9D%99%A7%F0%9D%99%9B-%F0%9D%98%BE%F0%9D%99%9E%F0%9D%99%A9%F0%9D%99%AE-in-collaboration-with-c/3990686964384437/,Not found,Revalidated,zcrm_3877682000000437162
Change,http://www.change.com.sg/contact-us.html,315 Outram Road,+65 9773 5677,Not found,yvonne@change.com.sg,Not found,Missing: Change #14-06,Revalidated,zcrm_3877682000000437163
Charleston Global,https://charleston.com.sg/contact/,"22 Sin Ming Lane #06-76, Midview City",+65-6533 3002,Not found,info@charleston.com.sg,Not found,"Looking to get in touch? Search our online directory, below, to find your local office — or fill out the form, at right, to reach out with any other questions ...",Forced CSV fallback,zcrm_3877682000000437164
Cheery Balloons,https://www.bobochachaballoon.com/?srsltid=AfmBOopibKwt4RYAEoqV6vUR1PaLy34IJs0WCTS8BPTCOXlbNn1sIGiC,79 Kew Crescent Road,+65 8876 9977,6569501508,cheeryballoons@gmail.com,"https://www.instagram.com/cheeryballoons_jellycat/, https://www.facebook.com/CheeryBalloons/, https://m.facebook.com/CheeryBalloons/photos/",Not found,Forced CSV fallback,zcrm_3877682000000437165
