company_name,website_link,address,phone_number,email_address,social_media_links,description
cuddles and snuggles,https://recordowl.com/company/snuggles-and-cuddles-store,"20, 2024, SNUGGLES AND CUDDLES ST",+65 9105 9749,support@snugglesncuddles.com,https://www.instagram.com/snugglecuddlesg/,Not found
db glory,https://recordowl.com/company/db-glory-pte-ltd,438A Alexandra Road,6269 4171,andrea@international-schools-database.com,https://sg.linkedin.com/jobs/view/regional-finance-manager-at-glory-3960428075,Not found
ecolife,https://www.ecolifesg.net/,"24, CHIN BEE ROAD",9180 2908,ecolifesg65@gmail.com,"https://www.facebook.com/EcoLifeSG/posts/ecolife-service-to-the-client-in-jurong-west-a-beautifully-renovated-living-hall/1035670590235821/, https://www.facebook.com/EcoLifeSG/",Not found
elly issey,https://recordowl.com/company/elly-issey-pte-ltd,83 Punggol Central Waterway,+65 9628 0338,contact@theellystore.com,Not found,"Discover quality baby and kids' clothes, footwear, and toys at The Elly Store. Shop nursery essentials, newborn gifts, and personalisable gifts for all ages ..."
excella enterprise,https://sgpgrid.com/company-details/excella-enterprise,400 ORCHARD ROAD,+65 6701 1133,sales@excellenterprise.com.sg,Not found,Not found
fransindo international,https://recordowl.com/company/fransindo-international-pte-ltd,6 UBI ROAD,99404396,Not found,Not found,Not found
futuretex,https://www.dnb.com/business-directory/company-profiles.futuretex_pte_ltd.5d0b91ddfa0a1c3f19e29cea4d344cd1.html,80 ROBINSON ROAD,+65 6225 0588,Not found,Not found,Not found
global outsource solutions,https://www.globaloutsourceasia.com/,601 Sims Drive,6831 5025,gos.cs@khi.global,https://sg.linkedin.com/company/global-outsource-solutions-pte-ltd,Global Outsource Solutions Pte Ltd (GOS) is under Kim Hin International Group. We are a leading regional South East Asia baby & maternity goods distributor.
happy coast,https://www.happycoastkids.com.sg/contact/,328 North Bridge Rd,96791569,info@happycoastkids.com,https://www.facebook.com/happycoastkids/,"HappyCoastKids curates our products for the discerning parent. We look for smart products that are functional, stylish and have that little something extra."
hqe fashion enterprise,https://www.dnb.com/business-directory/company-profiles.hqe_fashion_enterprise_pte_ltd.42893a846761599766dd291243bb2c2e.html,250 Orchard Rd,+65 9456 6935,marketing@sgfashioncouncil.org.sg,https://www.tiktok.com/discover/what-happened-to-zara-in-real-life,"Eamonn Kevin Roche FAIA (June 14, 1922 – March 1, 2019) was an Irish-born American Pritzker Prize-winning architect."
hushmoo,https://hushmoo.com/pages/contact-us-1?srsltid=AfmBOopod2V1MNAkNkE9lZicgylEQqrJk4bf5DlYvckEp4jXIlXRwq6f,107 TAMPINES ROAD,9837 8063,info@hushmoo.com,https://www.facebook.com/hushpuppiessg/,Not found
happy parenting club singapore,https://happyparentingclub.com/,22 SIN MING LANE,6442 5317,contactus@heyhoppi.com.sg,"https://www.instagram.com/p/C3ZVTHRvh5a/, https://www.facebook.com/parentingclub/, https://www.instagram.com/happy.parenting.club/?hl=en","No. For the safety of the children and members, children are not allowed into the club except on special occasions where we organise children's classes/specials ..."
h4tch,https://recordowl.com/company/h4tch-pte-ltd,11 HUME AVENUE,+65 8040 4697,hello@hatch.sg,Not found,Not found
happy children enterprise,https://recordowl.com/company/happy-children-enterprise,865 MOUNTBATTEN ROAD,Not found,Not found,https://www.facebook.com/happychildrenhappyfuture/,Missing: happy children
indeecotton,https://www.sgpbusiness.com/company/Indeecotton-Pte-Ltd,311 CANBERRA ROAD,+65 92713027,Not found,"https://sg.linkedin.com/company/ideal-merchandise-pte-ltd, https://www.instagram.com/indeecotton/?hl=en, https://sg.linkedin.com/company/oleah-handcrafted","Registered name. INDEECOTTON PTE. LTD. ; Unique Entity Number (UEN). 202323049N ; Registration date. Jun 12, 2023 ; Legal entity type. EXEMPT PRIVATE COMPANY ..."
jiaxin hometextile company,http://www.goodway-hometextile.com/AboutUs,12-01 COLLYER QUAY CENTRE,+65 6518 3535,dyp@goodway-hometextile.com,Not found,Not found
jihno qloey,https://recordowl.com/company/jihno-qloey-pte-ltd,33 UBI AVENUE,+65 8236 3100,Not found,"https://www.facebook.com/groups/1425511527676949/posts/4214291168798957/, https://www.facebook.com/groups/938586752894375/posts/9819536924799269/",1 pack $17.50 3 pack $45 - New pack of Jihno & Qloey adult diapers - XL size - 30 pieces per pack - Designed for all-day protection - Hugs every curve ...
jee seng garment fty,https://www.yelp.com/biz/jee-seng-garment-fty-singapore,3014A Ubi Rd,6841 5388,Not found,Not found,Not found
kids designers club,https://petit-bateau.sg/pages/privacy-and-security?srsltid=AfmBOoqDWwmDrwICxaK6GqxetjnlrwRgcqmLlfZd39qNai_J_tNNQR3G,"05-01, BANCHONG BUILDING",+65 6235 6017,customercare@fastjobs.sg,Not found,Not found
kiddos trading,https://www.sgpbusiness.com/company/Kiddos-Trading-Pte-Ltd,50 TAGORE LANE,95565383,info@thekiddospace.com,https://m.facebook.com/kiddosrepublicsg/mentions/,"Company information ; Registered name. KIDDO ONLINE ; Unique Entity Number (UEN). 53281354E ; Registration date. Nov 04, 2014 ; Legal entity type. SOLE-PROPRIETOR ..."
kids fashion brand pte limited,https://www.sgpbusiness.com/company/Kids-Fashion-Brand-Pte-Limited,6B Orange Grove Road,6304 1222,beekeeper@kids21.com,https://sg.linkedin.com/company/kids21,Not found
kay ay,https://www.dnb.com/business-directory/company-profiles.kay__ay_pte_ltd.eca61cb17ad8fd6180ea7e61d0ab55b0.html,160 ROBINSON ROAD,+65 8962 4042,kaypl@singnet.com.sg,Not found,Not found
kidsper enterprise,https://recordowl.com/company/kidsper-enterprise,"28 April 2025, please mail all documents, including hardcopy LPA applications, to 3 Bishan Place",6748 3652,NEA_EEG@nea.gov.sg,Not found,Not found
khannel trading,https://recordowl.com/company/khannel-trading,220 PETIR ROAD,+65 6877 0408,sales@mfbcp.com.sg,Not found,"A full-time, three-year programme designed to give you a multidisciplinary, holistic education in international trade."
keeiro llp,https://sgpgrid.com/company-details/keeiro-llp,46413 - WHOLESALE OF CHILDR,Not found,Not found,Not found,Not found
liho design,https://recordowl.com/company/liho-design-pte-ltd,6 Eu Tong Sen St,6222 3226,general.enquiry@royal-tg.com,https://www.facebook.com/lihosg/,Not found
les petits,https://sg.ambafrance.org/Les-Petits-Gaulois-4887,12 childr,6598432275,vanessa@lespetitssinges.com,https://www.facebook.com/ecolematernelleSingapour/,Les Petits Gaulois ecole maternelle Singapour. 511 likes · 4 talking about this. Crèche et École Maternelle BIlingue Français/Anglais à Singapour /...
lil tiny,https://www.bigtiny.com.sg/,"2017, Big Tiny is the first",9062 7441,contact@tinytotstrove.sg,"https://www.facebook.com/bigtinygroup/, https://www.instagram.com/tinylilonesg/, https://www.facebook.com/TinySGModel/",Not found
littlebabybernice babystore,https://littlebabybernice.com/,500 AWARD,Not found,sales@littlebaby.com.sg,"https://www.facebook.com/littlebabybernicestore/posts/explore-littlebabybernice-babystore-our-video-shows-you-how-to-easily-reach-our-/901469265331276/, https://www.facebook.com/littlebabybernicestore/","Come and join us live on Shopee today! Friday 21 October 2022 7.30pm to 830pm. Go to our Shopee page, shopee.sg/littlebabybernice Press the tab “live” Press “ ..."
little buebue,https://www.sgpbusiness.com/company/Little-Buebue-Pte-Ltd,31 WOODLANDS CLOSE,+65 6345 4560,info@littlebig.com.sg,https://m.facebook.com/littlebabysingapore/mentions/,"CHILD CARE SERVICES ; VITAL ACTIVE PTE. LTD. 202414916R ; MERONKIZZU, 53483682L ; LITTLE BUEBUE PTE. LTD. 202412979M."
little baby steps trading,https://sgpgrid.com/company-details/little-baby-steps-trading,22 SIN MING LANE,Not found,Not found,Not found,Not found
little kiwi house,https://recordowl.com/company/little-kiwi-house,59 UBI AVENUE,9053 8838,thelittlekiwico@gmail.com,Not found,Not found
love for baby,https://www.sgpbusiness.com/company/Love-For-Baby,548 HOUGANG STREET,+65 6592 8485,contact@lollababy.com.sg,https://www.facebook.com/p/Babylove-Singapore-100063746555360/,Not found
mastron power,https://mastron.com.sg/contact-us.html,5 Ang Mo Kio Indust,6483 0292,sales@mastron.com.sg,Not found,Not found
myminis barcelona,https://www.sgpbusiness.com/company/Myminis-Barcelona-Pte-Ltd,10 MARGATE ROAD,99401371,Not found,Not found,We stay at Level 2 in the Rose Room on the second floor. We launch our new and exclusive collection with Litle Friends and MyMinis Barcelona.
mommys bae,https://mommysbae.com/contact-us/,106 Clementi St,+65 8808 0196,admin@mommysbae.com,"https://www.instagram.com/mommysbae/?hl=en, https://m.facebook.com/mommysbae/mentions/, https://www.facebook.com/mommysbae/","Only the Best for Mommy's Newborn, Before Anyone Else. mommysbae.com. New colours for our bestselling Mittens & Booties are now stocked!"
mola mola international,https://molasubsea.com/contact/,60138817860 address Singapore 110 Tuas South Ave,92991106,info@mola-mola.nl,https://www.facebook.com/p/Mola-Mola-international-100063867990564/,"Office Location ; Block, 60 ; Level Number, 12 ; Unit Number, 05 ; Building Name, PAYA LEBAR SQUARE ; Street Name, PAYA LEBAR ROAD."
milardi,https://www.sgpbusiness.com/company/Milardi-Private-Limited,491B RIVER VALLEY ROAD,Not found,Not found,"https://sg.linkedin.com/in/inez-milardi-8121b22b4, https://www.instagram.com/p/B6PmDE-AjCr/","Experience: Self-employed · Location: 228211. View Inez Milardi's profile on LinkedIn, a professional community of 1 billion members."
modern maternity,https://www.yelp.com/biz/modern-maternity-singapore,"02-90, HarbourFront Centre",6276 1009,Not found,https://www.instagram.com/dearcollective/?hl=en,"We've set out to create a collection of transitional, functional, and stylish clothes from pregnancy to the early stages of feeding your little one."
mats jonsson sales marketing,https://recordowl.com/company/mats-jonsson-sales-marketing,Not found,Not found,Not found,Not found,"MATS JONSSON SALES & MARKETING (53402296X) is incorporated on 25/08/2019, Sunday and is 5 years 10 months 21 days old. Current status is Live. It has 1 officers ..."
milk n play,https://www.scam.sg/companies/53405929E/milk-n-play,58 post,+65 9826 4507,info@milk.org,https://www.instagram.com/milknplay.sg/,"The aim of the SIFECS Code is to ensure optimal nutrition for infants, through the protection and promotion of breastfeeding."
mum2babies,https://www.aia.com.sg/en/our-products/health/medical-insurance/aia-mum2baby-choices.html,2Baby plan is a bundle of two pl,+65 6373 8031,success@aia.com.sg,https://www.facebook.com/Singapore.AIA/posts/gift-your-little-one-lasting-protection-with-aia-mum2baby-the-plan-shields-you-f/1549653391808202/,"AIA Mum2Baby Choices provides protection for mother and child from the 13th week of pregnancy, with two bundle options, and covers death, pregnancy ..."
meronkizzu,https://companieshouse.sg/meronkizzu-53483682L,447A BUKIT BATOK WEST AVENUE,8855 5258,Hello@Merakiz.biz,https://www.facebook.com/merakizrenovationcontractor/,Not found
nikandali,https://recordowl.com/company/nikandali-pte-ltd,198 DEPOT ROAD,Not found,hkg@mingluji.com,Not found,Not found
nishin baby,https://recordowl.com/company/nishin-baby-pte-ltd,110 GERALD DRIVE,91016406,contact@lollababy.com.sg,https://www.facebook.com/Infantino.sg/,WHOLESALE OF CHILDREN AND INFANTS CLOTHING INCLUDING PRODUCTS AND ACCESSORIES FOR INFANTS ; H4TCH PTE. LTD. 202510290H ; NISHIN BABY PTE. LTD. 202509848H ; WINSUN ...
nothing but children,https://www.sgpbusiness.com/company/Nothing-But-Children,26 CANBERRA DRIVE,6253 1124,queries@sinda.org.sg,Not found,"SG Enable Information and referral services for persons with disabilities (child and adult). Infoline: 1800 858 5885. Line operates on Mon – Fri: 9am – 5.30pm, ..."
no1kidspalace,https://kiddypalace.com.sg/pages/contact-us,"1 Kids Palace offers a wide variety of stylish, comfy children clothes at best",6254 3757,sales@kidspalace.sg,"https://www.facebook.com/no1kidspalace/?locale=km_KH, https://www.facebook.com/no1kidspalace/","Kiddy Palace provides the definitive one-stop shopping experience with products ranging from maternity products, toys, childrens' wear, to gifts for baby ..."
olive stone,https://sgpgrid.com/company-details/olive-stone-pte-ltd,10 Moonstone Lane,+65 8962 4042,Not found,Not found,"This review examines the sustainable use of olive stone by-products, focusing on their nutritional value, health benefits, potential for energy production, and ..."
orient unify enterprise,https://www.enterprisesg.gov.sg/about-us/contact-us,160 Robinson Road,+65 6701 1133,Not found,Not found,"The Consumer Product Safety and Accuracy + (CPSA+) system is an online portal for consumers, businesses, conformity assessment/ testing bodies, and regulators ..."
2l fashion,https://www.sgpbusiness.com/company/2l-Fashion-Pte-Ltd,541 ORCHARD ROAD,6148 3667,ask@thevelvetdolls.sg,Not found,"Registered name. 2L FASHION PTE. LTD. ; Unique Entity Number (UEN). 202320638H ; Registration date. May 25, 2023 ; Legal entity type. EXEMPT PRIVATE COMPANY ..."
4y trading enterprise,https://www.sgpbusiness.com/company/4y-Trading-Enterprise,160 Robinson Road,+65 6701 1133,enquiry@smecentre-sccci.sg,https://www.linkedin.com/posts/keith-yap_enterprise-singapore-was-my-first-professional-activity-7233765315006885888--t6v,Browse a selection of affordable used luxury sedans. Find the best deals for perfect luxury second-hand car to suit your style and budget today.
dlz services,https://recordowl.com/company/dlz-services,518 BEDOK NORTH AVENUE,Not found,Not found,Not found,"Great company with a wonderful management team. Cares about employees, both, professionally and personally. Plenty of work, room for advancement. Cons. In the 6 ..."
ponie sg,https://www.poniesg.com/index.php?route=about/contactus,221 Henderson Rd,97601537,mkt@ponie.com.hk,Not found,PONIE INTERNATIONAL PTE LTD (197601537W). MANUFACTURE OF OUTER GARMENTS. General Information. Personal details and application. Registration ...
puffyfriends,https://www.sgpbusiness.com/company/Puffyfriends,528B PASIR RIS STREET,6758 8675,Not found,"https://www.instagram.com/puffyfriendssg/, https://www.instagram.com/puffyhouyuu/?hl=en",Photo by ༚✧˳⁺⁎♡ puffyfriends ♡⁎⁺˳✧༚ in. visit us this weekend along wisma/takashimaya to get some goodies! will be slashing price for most items to make space ...
penguin poppies llp,http://www.penguin.com.sg/,"65 6870 2700, or visit 21 Tuas Road",+65 6870 2700,generalqueries@penguinrandomhouse.sg,Not found,Not found
roses and rhinos,https://recordowl.com/company/roses-and-rhinos-pte-ltd,2-10 empl,Not found,shop@thewyldshop.com,"https://sg.linkedin.com/company/roses-and-rhinos, https://www.instagram.com/rosesandrhinos/?hl=en, https://www.facebook.com/rosesandrhinoskids/",WE ARE NOW CLOSED · FINAL DAY TO SHOP. · Shop the final few days with an extra 15% off with Bye15. · Last week to shop! · Thank you thank you! · New stock added to ...
royal baby,https://www.royalbabyglobal.com/pages/contact-us?srsltid=AfmBOoqJ7PwOQyExAN1K9H9PRPN6LbjuIuENB3RaMdzWChC7I6SNDMP0,"628-4176 Leave a message by WhatsApp, we will repl",66862123,Not found,"https://www.facebook.com/theroyalbabyworldsingapore/, https://www.facebook.com/p/RoyalBaby-Bikes-Singapore-100057161931728/","Royalbaby children bicycles. High quality, good design and different sizes for our young ones. ISO certified for children safety. Amazon USA top seller."
song kiong childrens wear co,https://listing.yellowpages.com.sg/listing/song-kiong-childrens-wear-co/,10 Admiralty St,64823510,Not found,Not found,Song Kiong Children's Wear Co Soonjoo Enterprise (Pte) Ltd Subtle Street Summer Dew Kiddy House Sunday 2000. Super Hill Co Sweety Kids Trading Taime Pte Ltd
sin wah jewellers goldsmith,https://listing.yellowpages.com.sg/listing/sin-wah-jewellers-goldsmith-pte-ltd/,144 UPPER BUKIT TIMAH ROAD,+65 8962 4042,Not found,Not found,Not found
spice collections,https://www.sgpbusiness.com/company/Spice-Collections-Pte-Ltd,50 Senoko Drive,+65 91177573,info@batulesungspicecompany.com,https://www.facebook.com/Jeyaspices/,UEN 200910591G; Company Name SPICE COLLECTIONS PTE. LTD. · Date Incorporation 12 June 2009 (Friday) 16 years ago; Operating Status Live Company.
singapore petsun ecommerce,https://petmall.sg/contact-us/?srsltid=AfmBOorkXso-7IeWQ2-y0s4diBpEmPS8er6UBhIcTvvUvKYwbo-FELiR,"11, Sims Drive",+65 9655 5575,order@petmall.sg,Not found,Not found
sunshine united international,https://sgpgrid.com/company-details/sunshine-united-international-pte-ltd,6 SHENTON WAY,99004256,Not found,Not found,Corporate Profile of SUNSHINE UNITED MANUFACTURING PTE. LTD. · UEN 199004256G; Company Name SUNSHINE UNITED MANUFACTURING PTE. LTD. · Date ...
singapore anyou trading,https://www.sgpbusiness.com/company/Singapore-Anyou-Trading-Pte-Ltd,8 KAKI BUKIT AVENUE,+65 6536 0036,info@sbsgroup.com.sg,Not found,Not found
shree enterprise,https://www.enterprisesg.gov.sg/about-us/contact-us,160 Robinson Road,+65 6701 1133,Not found,Not found,Not found
sgbabymall,https://sgpgrid.com/company-details/sgbabymall-ID0000,Not found,+65 8962 4042,care@sgbabymart.sgMonday,"https://www.instagram.com/p/DA89zKfzzV2/, https://www.facebook.com/sgbagmallclassifieds/","SGBabyMall - Baby Classifieds to buy, sell, exchange, and rent baby stuff.. This company is not active anymore. Founded by Seng Guan Eric Teo in the year ..."
top asiaco,https://www.dnb.com/business-directory/company-profiles.top_asiaco_pte_ltd.b56a19709a8dbf2e7073f81fb879bba5.html,1A ARD,+65 8962 4042,Not found,Not found,Not found
thara bloom,https://recordowl.com/company/thara-bloom-pte-ltd,808A CHAI CHEE ROAD,+65 63925675,hello@bloomconnect.com.sg,https://sg.linkedin.com/in/thara-ravindran-phd-3254159a,"KIDS PARTY PLANNERS ; MIMIBELLE, 53504901C ; TAVYN PTE. LTD. 202523629D ; THARA BLOOM PTE. LTD. 202518043Z."
tiny totz,https://www.littlestepsasia.com/singapore/learn/after-school-activities/tiny-tots-sports/,56 Kallang Pudding Road,6288 5578,contact@tinytotstrove.sg,Not found,"Our Little Tots are English-speaking Playgroups for children from two to three years of age. We offer a pleasant, encouraging atmosphere in small groups."
the project room,https://www.nlb.gov.sg/main/services/facilities/book-room-or-venue,"70 Stamford Rd, Singapore 178901 pl",Not found,hire@theprojector.sg,Not found,Project rooms are ideal for group work and group projects and they can accommodate 4 to 8 persons. Advanced booking is required. Use Room Finder to locate the ...
twl marketing,https://twl.sg/pages/contact?srsltid=AfmBOoprIiPWcp4JxjXpX9cvHy2rdiXh022295qx_oJ6N-5uQNCjKVDU,53501309D and is located at KAPO FACTORY BUILDING 80 PLAYFAIR ROAD,6382 2875,sales@twl.sg,Not found,Not found
vital active,https://recordowl.com/company/vital-active-pte-ltd,987 SERANGOON ROAD,+65 65091757,jessica.lee@vitalsystem.com.sg,Not found,Not found
warabee,https://www.warabeehs.com/,01-02 PEMIMPIN INDUSTRIAL BUILDING,+65 8776 7113,Not found,"https://www.instagram.com/warabeehs/?hl=en, https://m.facebook.com/WarabeeHS/photos/a.1574808556094970/2163530500556103/?type=3, https://www.facebook.com/WarabeeHS/",Not found
wwfx plus,https://www.sgpbusiness.com/company/Wwfx-Plus-Pte-Ltd,124 KIM TIAN PLACE,+65 6341 5968,contact@wowfxstudios.com,Not found,Not found
wondborn,https://www.sgpbusiness.com/company/Wondborn-Pte-Ltd,51 GOLDHILL PL,99203373,hkg@mingluji.com,Not found,Not found
winsun holdings s,https://companieshouse.sg/winsun-holdings-s-pte-ltd-202500617D,152 BEACH ROAD,6743 2235,hkg@mingluji.com,Not found,Not found
xclusive kids,https://recordowl.com/company/xclusive-books-pte-ltd,60 KAKI BUKIT PLACE,9179 9203,beekeeper@kids21.com,"https://www.instagram.com/xclusiv_singapore/?hl=en, https://www.facebook.com/xclusivehometohguan/, https://www.facebook.com/p/Xclusiv-100083384946773/",Not found
xiang xiang underwear wholesale trading,https://recordowl.com/company/xiang-xiang-underwear-wholesale-trading,333 KANG CHING ROAD,99408958,Not found,https://www.facebook.com/bankahhiang/,Not found
yst holding,https://www.sgpbusiness.com/company/Yst-Holding-Pte-Ltd,"2003, YST has quickly est",6763 6076,musosc@nus.edu.sg,Not found,Not found
